FID;CODIGO REGION;REGION;CODIGO PROVINCIA;PROVINCIA;CODIGO COMUNA;NOMBRE COMUNA;DISTRITO;AREA;Shape__Area;Shape__Length;CODIGO LOCALIDAD;LOCALIDAD;CODIGO ENTIDAD;ENTIDAD;CODIGO CATEGORIA;CATEGORIA;Número total de personas;Total de Hombres;Total de Mujeres;Total de personas de 0 a 5 años;Total de personas de 6 a 14 años;Total de personas de 15 a 64 años;Total de personas de 65 y más años;Total personas migrantes que residen habitualmente en el territorio nacional;Total personas que se consideran pertenecientes a algún pueblo indígena u originario;Total de viviendas particulares;Total viviendas colectivas;Total viviendas ocupadas con moradores presentes;Total viviendas;Cantidad de hogares;Cantidad de viviendas tipo casa;Cantidad de viviendas tipo departamento en edificio;Cantidad de viviendas tipo vivienda tradicional indígena (ruka, pae pae u otras);Cantidad de viviendas tipo pieza en casa antigua o en conventillo;Cantidad de viviendas tipo mediagua, mejora, rancho o choza;Cantidad de viviendas tipo móvil (carpa, casa rodante o similar);Cantidad de viviendas tipo otro tipo de vivienda particular;Cantidad de viviendas con materialidad en paredes de Hormigón armado;Cantidad de viviendas con materialidad en paredes de albañilería: bloque de cemento, piedra o ladrillo;Cantidad de viviendas con materialidad en paredes de tabique forrado por ambas caras (madera o acero);Cantidad de viviendas con materialidad en paredes de tabique sin forro interior (madera u otro);Cantidad de viviendas con materialidad en paredes de adobe, barro, quincha, pirca u otro artesanal tradicional;Cantidad de viviendas con materialidad en paredes de materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo tejas o tejuelas de arcilla, metálicas, de cemento, de madera, asfálticas o plásticas;Cantidad de viviendas con materialidad de techo losa hormigón;Cantidad de viviendas con materialidad de techo planchas metálicas de zinc, cobre, etc. O fibrocemento (tipo pizarreño);Cantidad de viviendas con materialidad de techo fonolita o plancha de fieltro embreado;Cantidad de viviendas con materialidad de techo paja, coirón, totora o caña;Cantidad de viviendas con materialidad de techo materiales precarios (lata, cartón, plástico, etc.);Cantidad de viviendas con materialidad de techo sin cubierta sólida de techo;Cantidad de viviendas con materialidad de piso parquet, piso flotante, cerámico, madera, alfombra, flexit, cubrepiso u otro similar, sobre radier o vigas de madera;Viviendas con materialidad de piso radier sin revestimiento;Viviendas con materialidad de piso baldosa de cemento;Viviendas con materialidad de piso capa de cemento sobre tierra;Viviendas con materialidad de piso tierra;Total viviendas con materialidad aceptable;Total viviendas con materialidad recuperable;Total viviendas con materialidad irrecuperable;Cantidad de viviendas con origen del agua por red pública;Cantidad de viviendas con origen del agua por pozo o noria;Cantidad de viviendas con origen del agua por camión aljibe;Cantidad de viviendas con origen del agua por río, vertiente, estero, canal, lago, etc.;x;y
27367;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;1;2;2322972.7109375;8196.25487227909;19;MAÑIL;52;MAÑIL BAJO;8;Parcela-Hijuela;19;11;8;Indeterminado;0;12;Indeterminado;0;0;15;0;7;15;7;13;0;0;0;1;0;1;0;1;5;0;0;1;1;0;6;0;0;0;0;6;0;0;1;0;6;0;1;5;2;0;0;;
27368;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;1;2;6090968.8828125;14522.7086144617;19;MAÑIL;54;SANTA BÁRBARA;8;Parcela-Hijuela;23;14;9;Indeterminado;Indeterminado;15;4;0;0;14;0;8;14;8;12;0;0;0;0;0;2;1;4;3;0;0;0;1;0;7;0;0;0;0;8;0;0;0;0;8;0;0;2;6;0;0;;
27369;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;1;2;2760832.734375;8387.48958248643;19;MAÑIL;47;LAS ÑIPAS;7;Fundo-Estancia-Hacienda;14;5;9;Indeterminado;Indeterminado;9;Indeterminado;0;Indeterminado;8;0;5;8;5;8;0;0;0;0;0;0;0;0;4;1;0;0;0;0;5;0;0;0;0;1;3;1;0;0;1;4;0;3;1;0;1;;
27370;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;1;2;10247147.4882813;16891.9813524924;19;MAÑIL;48;LAS OBRAS;8;Parcela-Hijuela;168;82;86;12;26;108;22;Indeterminado;Indeterminado;66;0;55;66;55;64;0;0;0;2;0;0;3;5;42;3;1;1;3;0;52;0;0;0;0;47;5;2;1;0;43;11;1;40;12;2;1;;
27371;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;1;2;1811655.27734375;7834.03506335818;19;MAÑIL;49;LOS ÁLAMOS;8;Parcela-Hijuela;129;74;55;8;14;98;9;Indeterminado;22;53;0;39;53;39;53;0;0;0;0;0;0;1;1;26;11;0;0;7;0;31;0;0;0;0;38;1;0;0;0;26;12;0;33;6;0;0;;
27372;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;1;2;3168965.80859375;7248.87568696511;19;MAÑIL;50;LOS NARANJOS;8;Parcela-Hijuela;99;59;40;10;9;74;6;0;38;27;0;24;27;26;26;0;0;0;1;0;0;0;1;18;4;0;1;0;0;24;0;0;0;0;21;2;1;0;0;18;5;1;23;1;0;0;;
27373;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;1;2;11273527.5625;16596.8049483093;25;SANTA BÁRBARA;67;MININCO;8;Parcela-Hijuela;34;18;16;Indeterminado;0;22;Indeterminado;Indeterminado;0;12;0;10;12;10;12;0;0;0;0;0;0;0;2;7;1;0;0;2;0;8;0;0;0;0;8;1;0;0;1;7;2;1;0;2;0;8;;
27374;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;1;2;8743388.703125;14020.8637609822;17;LOS MICHALES;40;LOS MICHALES;10;Comunidad Indígena;47;23;24;Indeterminado;9;31;Indeterminado;0;45;19;0;16;19;16;17;0;1;0;1;0;0;0;0;10;2;1;2;0;0;13;1;0;0;1;9;1;0;1;4;7;1;7;0;0;7;8;;
27375;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;2;2;410385.29296875;2917.53117756025;19;MAÑIL;53;MONGEN MAPU;10;Comunidad Indígena;46;27;19;4;11;27;4;0;36;11;0;11;11;11;11;0;0;0;0;0;0;0;0;11;0;0;0;0;0;11;0;0;0;0;11;0;0;0;0;11;0;0;9;2;0;0;;
27376;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;2;2;3881253.1328125;10220.9229394292;19;MAÑIL;50;LOS NARANJOS;8;Parcela-Hijuela;170;89;81;24;28;107;11;Indeterminado;94;57;0;48;57;48;56;0;0;1;0;0;0;2;2;37;5;0;2;1;0;47;0;0;0;0;41;2;2;3;0;37;9;2;39;6;3;0;;
27377;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;2;2;45935580.7304688;47821.280744321;19;MAÑIL;51;MAÑIL ALTO;8;Parcela-Hijuela;231;123;108;15;24;154;38;0;19;88;0;78;88;78;86;0;0;0;2;0;0;2;9;41;15;1;9;1;0;73;1;0;3;0;65;2;7;4;0;44;23;10;28;30;15;4;;
27378;8;REGIÓN DEL BIOBÍO;83;BIOBÍO;8311;SANTA BÁRBARA;2;2;17283008.1015625;31754.5389890408;19;MAÑIL;52;MAÑIL BAJO;8;Parcela-Hijuela;403;202;201;39;56;244;64;Indeterminado;67;150;0;127;150;129;144;0;0;2;4;0;0;3;21;75;19;0;9;15;0;112;0;0;0;0;112;7;6;1;1;91;26;10;92;27;4;3;;
